CampaignApplicationId,MetricId,Survey,Campaign,Closing Date,Application,Application Status,Question,Answer
10260,1000011,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the average number of FTE (Full Time Equivalent) resources that have worked on the source code for this application over the last 12 months?,27.0
10260,1000009,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Is this application aligned with the company's future technology direction?,Yes
10260,1000022,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Could failure of this application lead to loss of customer confidence? Please define the level of impact.,Very High
10260,1000006,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,The number of major releases delivered over the last 12 months for this application?,More than 12
10260,1000021,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Could failure of this application lead to harm of the company's public image? Please define the level of impact.,Very High
10260,1000020,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Could failure of this application lead to loss of revenue or business opportunity? Please define the level of impact.,Very High
10260,1000019,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Could failure of this application lead to disruption? Please define the level of impact.,Very High
10260,1000018,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the approximate number of end users for this application?,More than 2500
10260,1000017,Business Impact,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Does the application serve internal or external users?,Both
10260,1000015,Software Maintenance Estimate,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the average skill level of the development team on this type of application?,6 years
10260,1000012,Software Maintenance Estimate,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What percentage of the development effort has been spent on maintenance for this application over the last 12 months?,15.0
10260,1000121,Software Maintenance Estimate,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the percentage of change to the base code for this application over the last 12 months?,10.0
10260,1000032,Software Maintenance Estimate,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the CMMI level of the organization?,Level 2
10260,1000016,Software Maintenance Estimate,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the annual staff turnover within the development team for this application?,5%
10260,1000427,Application Properties,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Is this application a custom application or a Commercial Off The Shelf product?,Custom Application
10260,1000004,Application Properties,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,What is the application type?,Asset Management Operations / Technology
10260,1000002,Application Properties,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,Application Owner's name,Michael MULLER
10260,1000033,Application Properties,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,In what year was this application first put into production?,2010
10260,10000808,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers] What are the relationships beyond the application boundaries?,No dependency
10260,10000809,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers] What is the database provider for this application?,Standard and supported as a service in the Cloud (PaaS)
10260,10000810,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Process Maturity] What is the average skill on Cloud technologies and practices within the development team for this application?,Experts
10260,10000811,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Business Drivers] What is the current (or expected) Service Level Agreement for this application?,SLA with continuity of service
10260,10000800,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Process Maturity] What is the evolution model and feedback loop approach for this application?,Agile Development
10260,10000801,Cloud Readiness Assessment,Survey Mahout and Another_Roswell,05/15/2018,Roswell,complete,[Technical Enablers] What is the current deployment platform for this application?,Web application
